deviceId,flowId,state,priority,tableId,isPermanent,packets,bytes
of:000000000000000c,281479100460205,ADDED,40000,0,True,174,24360
of:000000000000000c,281475624796078,ADDED,40000,0,True,174,24360
of:000000000000000c,281477504901495,ADDED,40000,0,True,4203,176526
of:000000000000000c,281476292687096,ADDED,5,0,True,434,42532
of:000000000000000d,21110626082698632,ADDED,10,0,False,1,98
of:000000000000000d,21110627284202764,ADDED,10,0,False,1,98
of:000000000000000d,21110626694543249,ADDED,10,0,False,1,98
of:000000000000000d,21110624249871762,ADDED,10,0,False,1,98
of:000000000000000d,21110624462304281,ADDED,10,0,False,1,98
of:000000000000000d,21110624050686490,ADDED,10,0,False,1,98
of:000000000000000d,281478200287907,ADDED,40000,0,True,532,74480
of:000000000000000d,21110623574117295,ADDED,10,0,False,1,98
of:000000000000000d,281478788468154,ADDED,5,0,True,2566,251468
of:000000000000000d,281478012698825,ADDED,40000,0,True,533,74620
of:000000000000000d,21110627508019414,ADDED,10,0,False,1,98
of:000000000000000d,21110627234698724,ADDED,10,0,False,1,98
of:000000000000000d,21110626800482277,ADDED,10,0,False,1,98
of:000000000000000d,21110625943676788,ADDED,10,0,False,1,98
of:000000000000000d,281476618808057,ADDED,40000,0,True,9535,400470
of:000000000000000a,281477705784245,ADDED,5,0,True,1975,193550
of:000000000000000a,281475818964416,ADDED,40000,0,True,360,50221
of:000000000000000a,281477034268888,ADDED,40000,0,True,360,50221
of:000000000000000a,281478593105785,ADDED,40000,0,True,8516,357672
of:000000000000000b,281478277078534,ADDED,5,0,True,879,86142
of:000000000000000b,281476663695951,ADDED,40000,0,True,6700,281400
of:000000000000000b,281476573370203,ADDED,40000,0,True,359,50171
of:000000000000000b,281476205675487,ADDED,40000,0,True,359,50171
of:000000000000000e,21110625393430403,ADDED,10,0,False,0,0
of:000000000000000e,21110625321718532,ADDED,10,0,False,1,98
of:000000000000000e,21110626969904388,ADDED,10,0,False,1,98
of:000000000000000e,21110627295996165,PENDING_ADD,10,0,False,0,0
of:000000000000000e,21110623802784137,ADDED,10,0,False,0,0
of:000000000000000e,21110623588123281,PENDING_ADD,10,0,False,0,0
of:000000000000000e,21110627185546129,ADDED,10,0,False,1,98
of:000000000000000e,281475492028313,ADDED,40000,0,True,172,24080
of:000000000000000e,21110626944895261,ADDED,10,0,False,1,98
of:000000000000000e,21110624143891493,ADDED,10,0,False,1,98
of:000000000000000e,21110627371032234,ADDED,10,0,False,1,98
of:000000000000000e,21110623267129013,ADDED,10,0,False,1,98
of:000000000000000e,21110625963804725,PENDING_ADD,10,0,False,0,0
of:000000000000000e,21110623268134326,ADDED,10,0,False,1,98
of:000000000000000e,21110624227190201,ADDED,10,0,False,1,98
of:000000000000000e,21110623417122496,PENDING_ADD,10,0,False,0,0
of:000000000000000e,21110627354781382,ADDED,10,0,False,1,98
of:000000000000000e,21110627147191497,ADDED,10,0,False,1,98
