src,src_port,dst,dst_port,type,state
of:0000000000000013,4,of:0000000000000014,3,DIRECT,ACTIVE
of:000000000000000b,4,of:000000000000000c,3,DIRECT,ACTIVE
of:0000000000000023,3,of:0000000000000024,2,DIRECT,ACTIVE
of:000000000000001b,3,of:000000000000001c,2,DIRECT,ACTIVE
of:0000000000000005,6,of:0000000000000007,5,DIRECT,ACTIVE
of:0000000000000002,4,of:0000000000000003,3,DIRECT,ACTIVE
of:0000000000000015,5,of:0000000000000017,4,DIRECT,ACTIVE
of:000000000000000f,6,of:0000000000000011,5,DIRECT,ACTIVE
of:000000000000001f,5,of:0000000000000021,4,DIRECT,ACTIVE
of:0000000000000010,5,of:000000000000000d,8,DIRECT,ACTIVE
of:0000000000000021,4,of:000000000000001f,5,DIRECT,ACTIVE
of:0000000000000011,5,of:000000000000000f,6,DIRECT,ACTIVE
of:0000000000000010,3,of:000000000000000f,4,DIRECT,ACTIVE
of:0000000000000020,2,of:000000000000001f,3,DIRECT,ACTIVE
of:0000000000000028,3,of:0000000000000025,7,DIRECT,ACTIVE
of:0000000000000009,5,of:0000000000000007,6,DIRECT,ACTIVE
of:0000000000000019,4,of:0000000000000017,5,DIRECT,ACTIVE
of:0000000000000011,3,of:0000000000000010,4,DIRECT,ACTIVE
of:0000000000000013,7,of:0000000000000010,6,DIRECT,ACTIVE
of:0000000000000021,2,of:0000000000000020,3,DIRECT,ACTIVE
of:0000000000000018,2,of:0000000000000017,3,DIRECT,ACTIVE
of:0000000000000008,3,of:0000000000000007,4,DIRECT,ACTIVE
of:0000000000000024,3,of:0000000000000025,2,DIRECT,ACTIVE
of:000000000000000c,4,of:000000000000000d,3,DIRECT,ACTIVE
of:000000000000001c,3,of:000000000000001d,2,DIRECT,ACTIVE
of:0000000000000010,6,of:0000000000000013,7,DIRECT,ACTIVE
of:0000000000000003,4,of:0000000000000004,3,DIRECT,ACTIVE
of:0000000000000014,4,of:0000000000000015,2,DIRECT,ACTIVE
of:0000000000000009,4,of:000000000000000a,3,DIRECT,ACTIVE
of:0000000000000019,3,of:000000000000001a,2,DIRECT,ACTIVE
of:0000000000000007,8,of:000000000000000a,5,DIRECT,ACTIVE
of:000000000000001c,4,of:0000000000000019,7,DIRECT,ACTIVE
of:0000000000000013,5,of:0000000000000011,6,DIRECT,ACTIVE
of:0000000000000023,4,of:0000000000000021,5,DIRECT,ACTIVE
of:0000000000000012,3,of:0000000000000011,4,DIRECT,ACTIVE
of:0000000000000022,2,of:0000000000000021,3,DIRECT,ACTIVE
of:0000000000000019,2,of:0000000000000018,3,DIRECT,ACTIVE
of:0000000000000009,3,of:0000000000000008,4,DIRECT,ACTIVE
of:0000000000000007,6,of:0000000000000009,5,DIRECT,ACTIVE
of:000000000000000d,4,of:000000000000000e,3,DIRECT,ACTIVE
of:000000000000001d,3,of:000000000000001e,2,DIRECT,ACTIVE
of:0000000000000025,3,of:0000000000000026,2,DIRECT,ACTIVE
of:0000000000000017,5,of:0000000000000019,4,DIRECT,ACTIVE
of:0000000000000004,4,of:0000000000000005,3,DIRECT,ACTIVE
of:0000000000000013,8,of:0000000000000016,4,DIRECT,ACTIVE
of:0000000000000022,4,of:000000000000001f,7,DIRECT,ACTIVE
of:000000000000000d,7,of:000000000000000a,6,DIRECT,ACTIVE
of:000000000000000b,3,of:000000000000000a,4,DIRECT,ACTIVE
of:0000000000000003,5,of:0000000000000001,4,DIRECT,ACTIVE
of:0000000000000002,3,of:0000000000000001,3,DIRECT,ACTIVE
of:0000000000000023,2,of:0000000000000022,3,DIRECT,ACTIVE
of:0000000000000013,3,of:0000000000000012,4,DIRECT,ACTIVE
of:0000000000000025,6,of:0000000000000022,5,DIRECT,ACTIVE
of:000000000000001b,2,of:000000000000001a,3,DIRECT,ACTIVE
